N,BubbleSort,InsertionSort,SelectionSort,QuickSort,MergeSort
200,0,0
400,0,0
600,1,0
800,2,0
1000,6,0
1200,6,0
1400,8,0
1600,9,0
1800,15,0
2000,17,0
2200,17,0
2400,17,0
2600,22,0
2800,26,0
3000,27,0
3200,34,0
3400,37,0
3600,30,0
3800,33,0
4000,37,0
